t,z(t),v(t),a(t) (added)
5.219996,0.7447876,1.378196,-74.47876
5.239996,0.7720536,1.3633,-77.20536
5.259996,0.7990108,1.347859,-79.90108
5.279996,0.8256483,1.331879,-82.56483
5.299996,0.8519556,1.315366,-85.19556
5.319996,0.8779221,1.298326,-87.79221
5.339996,0.9035375,1.280768,-90.35374
5.359996,0.9287914,1.262697,-92.87914
5.379996,0.9536738,1.244122,-95.36739
5.399996,0.9781748,1.225048,-97.81748
5.419996,1.002285,1.205485,-100.2285
5.439996,1.025993,1.185439,-102.5993
5.459996,1.049292,1.164919,-104.9292
5.479996,1.07217,1.143933,-107.217
5.499996,1.09462,1.12249,-109.462
5.519996,1.116632,1.100598,-111.6632
5.539996,1.138198,1.078265,-113.8198
5.559996,1.159308,1.055501,-115.9308
5.579996,1.179954,1.032315,-117.9954
5.599996,1.200128,1.008716,-120.0128
5.619996,1.219822,0.9847131,-121.9822
5.639996,1.239029,0.9603167,-123.9029
5.659996,1.257739,0.9355361,-125.7739
5.679996,1.275947,0.9103813,-127.5947
5.699996,1.293644,0.8848624,-129.3644
5.719995,1.310824,0.8589895,-131.0824
5.739995,1.32748,0.832773,-132.748
5.759995,1.343604,0.8062234,-134.3604
5.779995,1.359191,0.7793513,-135.9191
5.799995,1.374234,0.7521675,-137.4234
5.819995,1.388728,0.7246827,-138.8728
5.839995,1.402666,0.6969082,-140.2666
5.859995,1.416043,0.6688548,-141.6043
5.879995,1.428854,0.640534,-142.8854
5.899995,1.441093,0.6119569,-144.1093
5.919995,1.452756,0.583135,-145.2756
5.939995,1.463838,0.5540799,-146.3837
5.959995,1.474334,0.5248032,-147.4333
5.979995,1.48424,0.4953165,-148.424
5.999995,1.493552,0.4656317,-149.3552
6.019995,1.502268,0.4357607,-150.2268
6.039995,1.510382,0.4057153,-151.0382
6.059995,1.517892,0.3755077,-151.7892
6.079995,1.524795,0.3451498,-152.4795
6.099995,1.531088,0.3146539,-153.1088
6.119995,1.536769,0.2840322,-153.6769
6.139995,1.541835,0.2532968,-154.1835
6.159995,1.546284,0.2224601,-154.6284
6.179995,1.550115,0.1915344,-155.0115
6.199995,1.553326,0.1605321,-155.3326
6.219995,1.555915,0.1294656,-155.5915
6.239995,1.557882,0.0983473,-155.7882
6.259995,1.559226,0.06718966,-155.9226
6.279995,1.559946,0.03600515,-155.9946
6.299995,1.560042,0.004806241,-156.0042
6.319995,1.559514,-0.02639459,-155.9514
6.339995,1.558362,-0.05758487,-155.8362
6.359995,1.556587,-0.08875212,-155.6587
6.379995,1.55419,-0.1198839,-155.419
